<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  37  9 55 50 50   5   1   0      0      0  0.00     60   11.17   -0.82   -8.08    7.57   -8.88    6.62    0.06    0.85   554.5  -554.4     6.8    -5.8   6.73  311200.  4.14  -3.67   0.99   6.4   10.41  -35.99  -14.30   11.92   -0.86    0.03   276  -133   143    11   -17    34    12   2.79  4.7
1981  37  9 56 50 50   4   1   0      1      0  0.00     59   10.53   -1.04   -6.52    7.88   -7.36    7.10    0.56    1.65   560.8  -559.6     8.8    35.2   7.12  386675.  4.48  -3.98   1.38   7.1   10.42  -35.99  -14.30   11.75   -0.86   -0.54   265  -127   138    11   -16    33    12   2.52  4.8
1981  37  9 57 50 50   4   1   0      3      2  0.00     58    9.68   -0.03   -4.69    7.07   -5.45    6.50    1.31    3.70   558.4  -556.9    40.9     0.0   8.13  362904.  5.07  -3.63   1.77   8.2   10.43  -35.98  -14.31   11.47   -1.30   -0.08   226  -110   116    11   -17    33    12   1.97  5.2
1981  37  9 58 50 50   4   1   0     17      2  0.00     45    8.15    0.69   -4.54   -6.06   -3.84   -6.53    0.92    2.08   553.9  -538.6    14.1  -128.4   7.28  387638.  4.47   3.62   2.35   9.2   10.44  -35.98  -14.31   10.49   -1.04    1.55   191   -94    97    11   -18    32    12   1.89  5.3
1981  37  9 59 50 50   6   2   0      8     16  0.04     68    9.54    2.32   -5.68   -7.11   -4.86   -7.70    0.21    1.14   543.3  -529.9    15.2  -118.8   8.26  462603.  4.88   4.18   2.23   8.2   10.45  -35.97  -14.32   10.23   -0.87    2.29   178   -92    86    11   -19    33    13   1.86  4.8
1981  37 10  0 50 50   5   2   0      4      2  0.01     64    8.37    1.61   -3.15   -6.97   -2.36   -7.28    0.64    1.98   550.0  -538.6    19.0  -109.4   8.47  433324.  5.12   4.00   2.83   9.6   10.47  -35.97  -14.32   10.15   -0.94    2.08   182   -92    90    10   -18    33    13   1.75  5.2
1981  37 10  1 50 50   5   1   0      3      2  0.00     60    8.85    2.31   -1.75   -8.00   -0.85   -8.14    0.97    2.39   541.1  -527.1    49.8  -111.6   8.66  348040.  5.07   4.40   2.19   9.0   10.48  -35.96  -14.33    9.95   -1.33    2.07   170   -77    93    10   -18    33    12   1.72  5.3
1981  37 10  2 50 50   4   2   0      8      1  0.01     54   10.21    2.55    0.11   -9.67    1.18   -9.60    0.43    1.63   546.1  -534.2    55.2   -98.6   8.41  396895.  5.02   5.24   1.76   7.8   10.49  -35.96  -14.33    9.78   -1.54    1.87   185   -81   104    10   -18    31    13   1.58  4.9
1981  37 10  3 50 50   6   1   0      4      2  0.00     64    8.48   -0.41   -3.92   -7.35   -3.08   -7.74    0.86    1.15   547.1  -535.7    56.3   -95.9   8.36  407149.  5.00   4.23   2.59   9.3   10.49  -35.96  -14.33   10.34   -1.32    1.92   186   -86   100    10   -18    32    13   1.56  5.2
1981  37 10  4 50 50   3   1   0      4     13  0.11     60    4.45    0.34   -1.84   -3.52   -1.44   -3.70    2.03    2.50   595.8  -584.2     8.2  -116.7   4.01  205083.  2.85   2.20   2.81  13.4   10.50  -35.95  -14.34   11.36   -0.90    2.23   194  -100    94    10   -19    31    13   1.82  7.2
1981  37 10  5 50 99   3 999   0     -1      0  0.00     64    9.55   -0.44   -6.58   -6.85   -5.79   -7.53    0.38    0.70 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.20   -0.65    2.14   198  -109    89    10   -19    32    13   2.00 99.9
1981  37 10  6 50 99   5 999   0     -4      0  0.01     62   10.40    1.53   -9.55   -3.62   -9.09   -4.65    0.56    1.19 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.64   -0.61    2.14   234  -140    94    10   -19    32    13   2.19 99.9
1981  37 10  7 50 99   4 999   0     -1      3  0.01     57   10.93    0.10   -9.57   -4.88   -8.98   -5.90    0.32    1.18 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.39   -0.51    2.00   227  -143    84    11   -19    35    12   2.42 99.9
1981  37 10  8 50 99   6 999   0      6     11  0.03     53   10.65   -1.81   -9.10   -4.93   -8.50   -5.90    0.17    1.37 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.29   -0.44    1.89   243  -161    82    11   -21    36    13   2.65 99.9
1981  37 10  9 50 99   5 999   0    -11      2  0.01     76   10.82   -3.52   -8.94   -0.40   -8.84   -1.38    0.21    2.92 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.76   -0.34    1.84   265  -167    98    12   -24    40    12   2.85 99.9
1981  37 10 10 50 99   5 999   0    -14      0  0.01     62   11.65   -1.17  -11.45    1.41  -11.54    0.15    0.19    0.73 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.93   -0.25    1.74   274  -167   107    12   -24    41    13   2.56 99.9
1981  37 10 11 50 50   4   1   0    -62     86  0.43    107   10.72   -1.09  -10.59    0.25  -10.55   -0.91    0.87    1.41   559.6  -555.7   -26.2   -60.4   6.89  527386.  4.32   0.51   1.64   6.9   10.58  -35.92  -14.38   11.74   -0.12    1.42   300  -165   135    11   -24    42    13   2.66  4.4
1981  37 10 12 50 99   7 999   0     14     26  0.15    -15   10.71   -0.82  -10.13   -1.47   -9.91   -2.57    0.41    2.75 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.55   -0.11    1.52   275  -141   134    12   -24    42    14   2.56 99.9
1981  37 10 13 50 50   5   1   0     -9      2  0.01     83   11.24   -1.81  -10.37    2.19  -10.55    1.05    0.61    2.96   553.9  -549.1   -29.7   -66.5   6.97  431114.  4.28  -0.58   1.28   6.5   10.57  -35.93  -14.38   11.72   -0.03    1.37   251  -148   103    12   -24    42    15   2.36  4.5
1981  37 10 14 50 99   4 999   0    -15      0  0.01     65   10.17   -2.06   -9.53    2.03   -9.69    0.98    0.29    1.45 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.61   -0.04    0.85   281  -173   108    11   -23    39    15   2.52 99.9
1981  37 10 15 50 50   5   1   0    -17      3  0.01     61   10.24   -1.84   -9.55    3.00   -9.82    1.94    0.34    0.64   569.3  -568.2   -29.8   -17.9   7.97  391507.  5.17  -1.10   1.64   7.8   10.59  -35.92  -14.39   11.45   -0.12    0.68   313  -189   124    11   -24    36    14   2.56  5.0
1981  37 10 16 50 99   3 999   0    -19      0  0.01     61   10.12   -1.90   -8.64    4.89   -9.12    3.92    0.13    0.39 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.50   -0.36    1.30   315  -170   145    10   -24    34    15   2.16 99.9
1981  37 10 17 50 50   1   1   0     -3      0  0.00     44   11.43    4.19   -4.80   -9.38   -3.75   -9.85    0.00    0.00   559.4  -548.1     6.7  -111.5   7.97  766907.  4.99   5.51   2.27   6.9   10.61  -35.90  -14.40   10.13   -0.67    2.04   311  -169   142     9   -23    31    15   2.20  4.0
1981  37 10 18 50 50   6   3   0     -9      4  0.01     66   11.39    2.94   -7.11   -7.95   -6.21   -8.67    0.09    2.41   538.8  -529.3     4.6  -100.6   6.69  380517.  3.88   4.67   1.09   6.1   10.61  -35.90  -14.40   10.68   -0.55    1.90   322  -190   132     8   -23    28    16   2.21  4.4
1981  37 10 19 50 50   6   1   0    -38     11  0.03     89   11.52    0.67  -10.84   -1.20  -10.65   -2.37    0.27    3.16   554.9  -549.9   -30.7   -67.6   5.79  373282.  3.57   1.32   0.91   5.8   10.62  -35.90  -14.40   11.81    0.09    1.29   346  -201   145     8   -25    27    16   2.26  4.3
1981  37 10 20 50 50   6   1   0    -54      5  0.01     75   11.29    0.74  -10.72    0.95  -10.76   -0.22    0.15    2.46   547.7  -544.7   -48.6   -29.6   7.04  422058.  4.22   0.12   1.26   6.4   10.64  -35.89  -14.41   11.79    0.34    0.76   324  -164   160     7   -26    29    17   2.20  4.4
1981  37 10 21 50 50   8   1   0    -74     19  0.07     79   12.28   -0.06  -11.92    2.71  -12.14    1.40    0.53    0.86   552.7  -550.0   -29.8   -45.3   6.02  415071.  3.68  -0.77   0.90   5.5   10.65  -35.88  -14.43   12.11    0.15    0.88   292  -124   168     6   -27    31    18   1.91  4.1
1981  37 10 22 50 50   5   2   0   -100     18  0.06     86   13.22   -1.10  -12.71    3.39  -13.00    2.00    0.23    0.55   553.4  -550.4   -27.5   -50.0   5.93  384391.  3.63  -1.11   0.72   5.1   10.66  -35.88  -14.43   12.29   -0.04    1.11   309  -131   178     5   -27    33    18   1.77  4.0
1981  37 10 23 50 50   5   1   0    -94      1  0.00     53   13.25   -1.56  -12.87    2.69  -13.09    1.28    0.30    0.41   554.4  -550.9   -24.1   -57.0   5.79  337979.  3.56  -0.71   0.64   5.0   10.67  -35.88  -14.43   12.27   -0.14    1.28   343  -164   179     5   -28    34    19   1.89  4.0
1981  37 10 24 50 99   5 999  40    -97      0  0.00     62   13.65   -1.72  -13.24    2.79  -13.46    1.34    0.02    0.38 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.21   -0.18    1.30   394  -230   164     5   -29    35    18   2.14 99.9
1981  37 10 25 50 50   5   1 100    -98      0  0.00     61   13.73   -1.14  -13.23    3.43  -13.52    1.98    0.07    0.50   550.2  -546.6   -20.0   -59.4   6.18  238302.  3.74  -1.09   0.50   5.0   10.68  -35.87  -14.44   12.17   -0.22    1.32   427  -265   162     6   -30    34    18   2.33  4.2
1981  37 10 26 50 99   5 999 100    -99      0  0.00     60   13.46   -0.74  -12.50    4.77  -12.94    3.39    0.08    1.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.19   -0.24    1.32   405  -237   168     6   -30    34    19   2.39 99.9
1981  37 10 27 50 99   5 999 100   -100      0  0.00     60   13.64   -0.86  -12.91    4.24  -13.29    2.82    0.05    0.41 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.20   -0.26    1.32   387  -219   168     5   -30    34    20   2.32 99.9
1981  37 10 28 50 99   5 999 100   -101      0  0.00     60   13.65    0.18  -12.89    4.42  -13.29    3.01    0.15    0.50 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.22   -0.28    1.32   391  -229   162     5   -30    35    20   2.32 99.9
1981  37 10 29 50 99   5 999 100   -102      0  0.00     60   13.04   -0.38  -12.63    3.13  -12.89    1.75    0.08    0.43 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.19   -0.30    1.31   471  -310   161     5   -29    35    20   2.39 99.9
1981  37 10 30 50 50   5   1 100   -104      0  0.00     61   13.60    0.55  -13.17    3.18  -13.44    1.74    0.20    0.71   533.4  -530.1   -15.7   -56.7   6.34  239082.  3.61  -0.93   0.52   4.9   10.73  -35.85  -14.46   12.24   -0.32    1.30   620  -463   157     5   -29    37    21   2.28  4.1
1981  37 10 31 50 99   5 999 100   -102      0  0.00     58   13.19   -0.14  -12.44    3.36  -12.73    2.00    0.09    2.25 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.21   -0.34    1.17   636  -474   162     5   -29    38    22   2.10 99.9
1981  37 10 32 50 50   5   1 100    -99      0  0.00     57   13.42   -3.40  -12.34    3.87  -12.68    2.52    0.02    0.55   566.5  -564.6   -12.8   -44.4   5.71  268736.  3.66  -1.43   0.52   5.0   10.74  -35.85  -14.47   12.25   -0.36    1.01   797  -633   164     5   -30    38    22   1.98  4.2
1981  37 10 33 50 50   5   2 100   -102      1  0.00     62   13.34   -2.13  -12.51    3.95  -12.86    2.58    0.02    0.86   552.8  -550.9   -20.1   -40.5   5.79  309144.  3.54  -1.43   0.59   5.0   10.75  -35.84  -14.48   12.33   -0.26    0.92   752  -584   168     5   -30    38    23   1.88  4.1
1981  37 10 34 50 99   1 999 100   -104      0  0.00     61   13.31   -1.74  -12.78    3.27  -13.06    1.88    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.35   -0.22    0.90   627  -462   165     5   -30    38    23   1.83 99.9
1981  37 11 11 50 99   4 999 100   -105      0  0.00 999999   13.73    1.83  -11.30    7.49  -12.05    6.22    0.20    1.18 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.39   -0.65   -0.25   329  -182   147    14   -26    48    20   2.15 99.9
1981  37 11 12 50 50   5   1 100   -105      0  0.00     60   13.88    1.47  -11.79    7.01  -12.48    5.69    0.09    0.94   521.4  -521.3    -1.8    11.8   6.58  258953.  3.58  -2.97   0.55   4.8   11.09  -35.69  -14.65   12.40   -0.66   -0.29   315  -176   139    14   -26    48    21   2.11  4.0
1981  37 11 13 50 99   5 999 100   -104      0  0.00     59   13.98    1.62  -10.22    9.15  -11.16    7.98    0.11    1.94 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.47   -0.64   -0.33   286  -160   126    14   -26    49    21   2.10 99.9
1981  37 11 14 50 50   5   1 100   -102      0  0.00     58   13.79   -1.20  -11.77    6.77  -12.44    5.45    0.04    0.91   550.2  -550.0    -2.9    16.3   5.71  221420.  3.46  -3.00   0.44   4.8   11.10  -35.68  -14.66   12.44   -0.61   -0.36   300  -173   127    14   -26    49    21   2.10  4.1
1981  37 11 15 50 99   5 999 100   -102      0  0.00     60   13.67   -4.24  -11.06    6.26  -11.68    5.02    0.06    1.55 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.36   -0.57   -0.35   305  -170   135    14   -27    48    21   2.12 99.9
1981  37 11 16 50 99   5 999 100   -102      0  0.00     60   14.07   -1.99  -11.37    7.44  -12.11    6.15    0.20    2.13 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.36   -0.55   -0.34   276  -140   136    14   -27    49    21   2.12 99.9
1981  37 11 17 50 99   5 999 100   -103      0  0.00     60   14.26   -0.70  -11.84    7.90  -12.63    6.56    0.07    0.42 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.34   -0.52   -0.32   263  -125   138    14   -28    49    22   2.08 99.9
1981  37 11 18 50 99   5 999 100   -102      0  0.00     59   13.95   -1.43  -11.29    8.02  -12.10    6.74    0.12    0.61 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.27   -0.48   -0.31   256  -118   138    13   -28    49    22   1.92 99.9
1981  37 11 19 50 99   4 999 100   -102      0  0.00     60   13.83   -2.63  -11.15    7.74  -11.93    6.47    0.07    0.27 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.22   -0.45   -0.29   265  -125   140    13   -28    49    21   1.84 99.9
1981  37 11 20 50 50   6   1 100   -102      0  0.00     60   13.61   -2.21  -10.91    7.80  -11.70    6.56    0.11    0.52   550.9  -550.7   -10.6    12.5   6.50  263009.  3.95  -3.61   0.57   5.2   11.15  -35.66  -14.68   12.17   -0.41   -0.28   279  -136   143    13   -29    49    22   1.94  4.2
1981  37 11 21 50 50   5   1 100   -106      0  0.00     63   13.62   -0.44  -11.24    7.58  -12.00    6.30    0.05    1.02   533.3  -532.9   -16.7    14.0   6.81  292180.  3.87  -3.36   0.64   5.1   11.16  -35.65  -14.69   12.22   -0.32   -0.32   277  -133   144    13   -29    48    21   1.87  4.1
1981  37 11 22 50 50   5   1 100   -108      0  0.00     61   13.60    0.20  -10.93    8.04  -11.75    6.79    0.10    0.35   534.7  -534.3   -14.0    15.9   6.65  248534.  3.80  -3.63   0.56   5.1   11.17  -35.65  -14.69   12.27   -0.35   -0.34   251  -121   130    12   -29    47    21   1.78  4.2
1981  37 11 23 50 99   5 999 100   -112      1  0.00     63   14.00    1.43  -11.65    7.59  -12.42    6.26    0.10    0.46 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.52   -0.37   -0.22   249  -118   131    12   -29    46    21   1.73 99.9
1981  37 11 24 50 50   5   1 100   -118      1  0.00     66   13.88    1.16  -11.29    7.88  -12.09    6.59    0.22    1.12   520.2  -520.0   -14.5     0.0   5.47  285393.  2.96  -3.43   0.49   4.4   11.19  -35.64  -14.70   12.81   -0.38   -0.07   262  -120   142    12   -29    45    20   1.71  3.7
1981  37 11 25 50 50   5   1 100   -119      0  0.00     60   14.31    2.47  -12.21    7.01  -12.91    5.62    0.01    0.32   520.2  -520.0   -14.5     0.0   5.47  285393.  2.96  -2.92   0.46   4.3   11.19  -35.64  -14.70   12.82   -0.39   -0.08   261  -122   139    12   -29    45    21   1.72  3.6
1981  37 11 26 50 50   5   1 100   -116      0  0.01     57   14.26    2.22  -11.48    8.09  -12.30    6.77    0.06    0.57   526.9  -526.6   -12.9    12.9   6.42  327151.  3.56  -3.57   0.60   4.7   11.21  -35.63  -14.72   12.60   -0.40   -0.23   242  -111   131    11   -29    45    21   1.71  3.8
1981  37 11 27 50 50   5   2 100   -115      0  0.00     59   14.27    2.18  -11.56    8.04  -12.38    6.71    0.03    0.47   526.9  -526.6   -12.7    13.2   6.41  325281.  3.56  -3.54   0.59   4.7   11.21  -35.63  -14.72   12.54   -0.47   -0.41   231  -108   123    11   -29    44    21   1.69  3.8
1981  37 11 28 50 50   5   1 100   -119      2  0.00     63   14.24    2.39  -11.96    7.27  -12.69    5.90    0.04    0.74   527.7  -527.2    -6.4    23.0   6.02  263009.  3.35  -3.11   0.48   4.5   11.22  -35.63  -14.72   12.68   -0.56   -0.43   227  -114   113    11   -29    43    19   1.66  3.8
1981  37 11 29 50 50   5   1 100   -127      2  0.00     67   14.08    3.65  -11.26    7.47  -12.02    6.17    0.06    1.29   497.7  -497.6    -7.8     0.0   5.94  342536.  2.94  -3.07   0.59   4.3   11.24  -35.62  -14.73   12.89   -0.57   -0.12   220  -113   107    11   -29    43    19   1.59  3.5
1981  37 11 30 50 50   5   1 100   -130      0  0.00     63   14.18    4.38  -11.23    7.40  -11.98    6.11    0.05    0.47   497.7  -497.6    -7.8     0.0   5.94  342536.  2.94  -3.04   0.58   4.3   11.24  -35.62  -14.73   12.95   -0.62   -0.01   219  -106   113    11   -29    43    19   1.45  3.5
1981  37 11 31 50 99   5 999 100   -129      0  0.00     59   14.15    4.20  -10.61    8.28  -11.47    7.05    0.03    0.85 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.92   -0.68   -0.04   217  -104   113    10   -29    42    20   1.46 99.9
1981  37 11 32 50 50   5   1 100   -128      0  0.00     59   14.25    3.66  -10.82    8.50  -11.70    7.24    0.07    0.44   506.7  -506.7     0.9     2.7   5.94  314714.  3.05  -3.67   0.54   4.3   11.26  -35.60  -14.74   12.90   -0.75   -0.06   211  -100   111    10   -29    41    20   1.44  3.6
1981  37 11 33 50 50   5   2 100   -128      0  0.00     60   14.28    3.29  -11.16    8.26  -12.01    6.96    0.05    0.40   511.7  -511.5   -10.4    -4.2   5.89  353904.  3.08  -3.56   0.58   4.3   11.27  -35.60  -14.75   12.89   -0.54    0.08   221  -106   115    10   -29    41    20   1.50  3.5
1981  37 11 34 50 50   5   2 100   -128      0  0.00     60   14.40    3.16  -10.95    8.74  -11.86    7.46    0.06    0.55   515.6  -515.4    -4.2    11.2   5.47  288061.  2.91  -3.85   0.46   4.2   11.28  -35.60  -14.75   13.00   -0.58   -0.17   222  -106   116    10   -29    40    19   1.46  3.5
1981  37 11 35 50 50   5   2 100   -131      0  0.00     62   14.40    3.25  -10.99    8.65  -11.89    7.36    0.06    0.67   514.7  -514.5   -10.0    11.2   5.17  237749.  2.74  -3.79   0.38   4.1   11.29  -35.59  -14.76   13.15   -0.57   -0.31   207   -97   110     9   -29    40    19   1.40  3.5
1981  37 11 36 50 50   5   2 100   -134      0  0.00     62   14.40    3.13  -11.37    8.16  -12.21    6.83    0.02    1.12   507.0  -506.9    -8.9     8.1   5.15  290183.  2.65  -3.46   0.43   4.0   11.30  -35.59  -14.76   13.26   -0.53   -0.24   203   -92   111     9   -29    39    19   1.41  3.4
1981  37 11 37 50 50   5   2 100   -134      0  0.00     60   14.34    4.10   -9.67    9.73  -10.70    8.58    0.07    0.59   505.8  -505.2    -8.8    22.1   5.63  263076.  2.88  -4.34   0.45   4.2   11.30  -35.58  -14.77   13.12   -0.55   -0.46   196   -80   116     9   -29    38    20   1.33  3.6
1981  37 11 38 50 50   5   2 100   -133      0  0.00     59   14.28    5.01   -9.10    9.79  -10.15    8.70    0.11    0.29   498.5  -498.3    12.2    -6.0   6.02  217757.  2.99  -4.34   0.43   4.3   11.31  -35.58  -14.77   12.92   -0.92   -0.05   194   -72   122     9   -29    39    19   1.25  3.7
1981  37 11 39 50 50   4   1 100   -131      1  0.00     58   14.17    4.47   -9.59    9.42  -10.59    8.28    0.04    0.27   498.5  -498.3    12.2    -6.1   6.02  217659.  2.99  -4.13   0.43   4.3   11.31  -35.58  -14.77   12.84   -0.88    0.12   200   -76   124     9   -29    39    19   1.27  3.7
1981  37 11 40 50 99   5 999 100   -128      1  0.00     57   14.37    4.06   -9.89    9.57  -10.91    8.39    0.13    0.31 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.83   -0.63    0.07   203   -80   123     9   -29    39    19   1.27 99.9
1981  37 11 41 50 50   5   1 100   -125      0  0.00     56   14.59    1.47  -11.36    8.48  -12.25    7.14    0.02    2.24   542.1  -541.8   -18.9     0.0   5.47  309449.  3.21  -3.87   0.47   4.3   11.34  -35.57  -14.78   12.80   -0.38    0.02   199   -73   126     9   -29    39    19   1.23  3.7
1981  37 11 42 50 50   5   1 100   -124      0  0.00     59   14.61    3.90  -11.18    7.31  -11.94    5.99    0.03    3.96   542.1  -541.8   -18.9     0.0   5.47  309449.  3.21  -3.25   0.47   4.3   11.34  -35.57  -14.78   12.71   -0.36   -0.06   203   -71   132     9   -29    38    19   1.15  3.7
1981  37 11 43 50 99   4 999 100   -128      0  0.00     64   14.66    4.55  -11.44    7.90  -12.26    6.55    0.02    0.36 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   12.68   -0.60   -0.18   194   -64   130     8   -30    38    18   0.96 99.9
1981  37 12 56 50 50   4   2 100    -66      3  0.00 999999   11.34    3.10   -6.66   -8.34   -5.44   -9.18    0.25    1.89   548.7  -545.6    22.8   -53.7  32.66  354909. 19.67   5.04   5.11  13.8   11.95  -35.27  -15.10    8.20   -0.83    0.79   381  -209   172    14     5    44    38   4.12  5.9
1981  37 12 57 50 50   5   1 100    -75      0  0.00     69   11.59    4.75   -5.19   -9.18   -3.87   -9.81    0.07    0.36   523.7  -520.6    20.9   -52.9  22.57  179541. 12.38   5.14   2.15  10.7   11.96  -35.27  -15.10    8.68   -0.91    0.91   386  -189   196    13     9    35    42   3.47  6.3
1981  37 12 58 50 50   4   1 100    -75      0  0.00     60   12.56    4.53   -3.50  -11.07   -1.93  -11.45    0.45    1.46   527.7  -523.5    32.9   -57.9  14.73  105945.  8.20   6.04   0.91   8.1   11.98  -35.26  -15.11    8.71   -1.00    0.95   363  -144   219    12    11    29    42   3.53  6.0
1981  37 12 59 50 50   4   1 100    -77      0  0.00     61   14.05    4.90   -0.92  -13.09    0.92  -13.09    0.85    1.31   527.7  -523.5    32.9   -57.9  14.73  105945.  8.20   6.91   0.73   7.2   11.98  -35.26  -15.11    8.81   -1.10    0.70   390  -136   254    11    11    29    42   3.51  5.6
1981  37 13  0 50 50   6   1 100    -78      1  0.00     60   15.65    5.09   -0.27  -14.79    1.80  -14.68    0.09    0.39   530.9  -529.0    44.4     7.4   9.57   88584.  5.39   7.79   0.35   5.2   12.00  -35.25  -15.12    8.99   -1.22    0.14   446  -146   299    12     7    36    43   3.79  4.6
1981  37 13  1 50 50   4   1 100    -78      1  0.00     60   15.20    5.70   -0.13  -14.08    1.85  -13.96    0.12    0.37   530.9  -529.0    44.4     7.4   9.57   88584.  5.39   7.41   0.37   5.4   12.00  -35.25  -15.12    9.00   -1.28   -0.17   476  -185   290    12     4    46    41   3.31  4.7
1981  37 13  2 50 99   5 999 100    -75      0  0.00     57   14.75    6.28    0.52  -13.30    2.39  -13.09    0.09    0.57 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.70   -1.28   -0.25   402  -126   275    11     4    40    44   2.65 99.9
1981  37 13  3 50 99   3 999 100    -73      0  0.00     58   14.94    6.41    1.14  -13.43    3.03  -13.13    0.10    0.37 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.46   -1.27   -0.31   390  -122   268    10     3    37    42   2.74 99.9
1981  37 13  4 50 50   5   1 100    -70      0  0.00     57   13.84    3.59    0.83  -13.29    2.71  -13.04    0.36    0.86   527.7  -524.3    53.3    27.6  21.25   90616. 11.83   6.88   1.01   8.8   12.03  -35.24  -15.14    8.16   -1.28   -0.39   358  -119   239    10    -1    38    40   2.52  6.4
