<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  2 55 50 99   5 999   0    435      8  0.02     66    5.51    3.84    3.40   -1.94    3.89   -0.41    0.01    0.32 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.92   -0.49    0.07    88   -32    55     2    -8     6    15   0.57 99.9
1981  36  2 56 50 99   6 999   0    450      6  0.01     45    5.47    3.94    2.95   -2.35    3.64   -0.97    0.02    0.10 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.84   -0.49    0.09   108   -46    61     2    -9     6    15   0.54 99.9
1981  36  2 57 50 99   6 999   0    416     19  0.02     93    5.57    3.90    3.12   -2.44    3.84   -0.99    0.07    0.29 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.85   -0.49    0.11   111   -50    60     2    -9     5    15   0.55 99.9
1981  36  2 58 50 99   4 999   0    436      3  0.01     40    5.62    4.03    2.72   -2.79    3.61   -1.47    0.01    0.30 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.80   -0.49    0.13   113   -62    50     2    -8     6    15   0.59 99.9
1981  36  2 59 50 99   3 999   0    451      5  0.01     45    5.63    3.65    3.00   -2.91    3.91   -1.48    0.01    0.73 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.79   -0.49    0.15   115   -77    37     2    -8     6    15   0.60 99.9
1981  36  3  0 50 99   2 999   0    473      6  0.01     37    5.65    3.91    2.99   -2.70    3.82   -1.29    0.01    0.21 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.83   -0.49    0.16   122   -90    31     2    -8     8    15   0.60 99.9
1981  36  3  3 50 99   5 999   0    612     34  0.02 999999    5.66    3.77    2.99   -2.93    3.90   -1.51    0.01    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.80   -0.49    0.18   146  -106    39     2    -9     7    14   0.75 99.9
1981  36  3  4 50 99   2 999   0    626     38  0.02     45    5.68    3.98    3.20   -2.45    3.91   -0.99    0.01    0.06 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.88   -0.50    0.20   140   -97    42     2   -10     7    13   0.73 99.9
1981  36  3  5 50 99   2 999   0    643     29  0.01     43    5.71    3.96    3.27   -2.46    3.97   -0.97    0.03    0.24 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.89   -0.50    0.21   130   -87    42     2   -10     7    13   0.69 99.9
1981  36  3  6 50 99   3 999   0    691     34  0.02     12    5.73    4.01    3.30   -2.39    3.97   -0.90    0.02    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.91   -0.50    0.22   115   -73    41     2    -9     6    13   0.60 99.9
1981  36  3  7 50 99   1 999   0    696      0  0.00     55    5.74    4.02    3.38   -2.30    4.01   -0.79    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.93   -0.50    0.23    95   -59    35     2   -10     8    13   0.52 99.9
1981  36  3  8 50 99   6 999   0    727     27  0.01     29    5.97    3.23    3.01   -3.96    4.32   -2.47    0.15    0.52 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.69   -0.49    0.25    92   -58    33     2   -10     8    12   0.54 99.9
