<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  36  4 48  36  4 48 50 50   2   1 100   -924      9  0.00     32    5.75    3.56   -0.31   -4.46    1.08   -4.34    0.01    0.22   373.3  -372.3   -26.7     3.9   5.26   42886.  1.47   1.62   1.13   7.4   -4.98  -37.76   -4.95   13.18   -0.08   -0.13   251
1981  36  4 50  36  4 50 50 50   3   1 100   -853      6  0.01     26    5.69    3.00   -0.93   -4.71    0.55   -4.77    0.07    0.32   376.9  -375.3   -34.8     2.0   5.34   58067.  1.52   1.80   1.28   7.7   -4.97  -37.76   -4.96   13.08    0.17   -0.07   243
1981  36  4 53  36  4 53 50 50   3   1 100   -783      7  0.01     35    5.80    4.02   -0.92   -3.97    0.33   -4.06    0.07    0.62   375.8  -374.5   -31.4     1.3   5.43   48925.  1.53   1.53   1.19   7.5   -4.95  -37.76   -4.97   13.16    0.08   -0.05   300
1981  36  4 54  36  4 54 50 50   3   1 100   -753      6  0.01     30    5.68    2.79   -1.19   -4.78    0.31   -4.92    0.02    0.17   375.8  -374.5   -31.4     1.3   5.43   48925.  1.53   1.85   1.24   7.7   -4.95  -37.76   -4.97   13.05    0.09   -0.15   282
1981  36  4 55  36  4 55 50 50   2   1 100   -733      5  0.01     40    5.56    2.79   -1.61   -4.46   -0.19   -4.74    0.05    0.08   374.8  -373.1   -34.0     9.8   5.43   55326.  1.53   1.78   1.34   7.9   -4.94  -37.76   -4.98   13.10    0.13   -0.31   293
1981  36  4 58  36  4 58 50 50   3   1 100   -651      8  0.01     30    5.51    0.86   -0.16   -5.41    1.46   -5.21    0.02    0.31   382.8  -381.8   -26.7     8.0   6.20   53027.  1.82   1.99   1.54   8.6   -4.93  -37.76   -4.98   12.60   -0.08   -0.27   290
1981  36  5  1  36  5  1 50 50   3   1 100   -582      5  0.01     37    5.46    0.85   -0.97   -5.28    0.63   -5.33    0.02    0.31   386.8  -385.4   -32.4     4.1   5.26   46752.  1.57   2.06   1.29   8.1   -4.92  -37.77   -4.99   12.85    0.06   -0.16   403
1981  36  5  2  36  5  2 50 50   3   1 100   -562      5  0.01     39    5.34    0.80   -0.81   -5.19    0.76   -5.20    0.02    0.32   386.8  -385.4   -32.4     4.1   5.26   46752.  1.57   2.01   1.34   8.3   -4.92  -37.77   -4.99   12.95    0.03   -0.20   454
1981  36  5  4  36  5  4 50 50   3   1 100   -525      5  0.01     41    5.41    0.88   -0.07   -5.30    1.49   -5.09    0.02    0.40   387.2  -386.2   -25.6    11.5   4.91   41858.  1.47   1.97   1.19   7.9   -4.90  -37.77   -5.01   13.01   -0.15   -0.36   424
1981  36  5 20  36  5 20 50 50   1   1 100    241      0  0.00    -36    5.11    1.16    1.20   -4.83    2.50   -4.30    0.00    0.00   381.0  -380.5   -19.9    -0.7   6.20   46752.  1.80   1.64   1.73   9.3   -4.86  -37.78   -5.03   12.65   -0.32   -0.02   461
