<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  37 17 24  37 17 24 50 50   5   1   0    141      0  0.00     62   10.57    0.35   -7.42   -7.52   -4.55   -9.54    0.11    0.40   537.1  -535.7    -3.7   -38.4   9.50  114283.  5.48   5.12   0.86   7.8   14.13  -34.05  -16.19   10.05   -0.44    0.84   945
1981  37 17 25  37 17 25 50 50   5   1   0    144      1  0.01     56   10.47   -0.02   -7.45   -7.35   -4.62   -9.39    0.01    0.15   535.1  -532.3   -10.2   -54.1  10.03  112594.  5.74   5.02   0.92   8.1   14.14  -34.05  -16.20    9.98   -0.38    1.02  1032
1981  37 17 27  37 17 27 50 50   4   1   0    152      1  0.00     59   10.37    0.38   -7.29   -7.35   -4.46   -9.34    0.07    0.22   534.4  -531.5    -4.6   -55.9  10.77  107040.  6.15   4.99   0.98   8.5   14.16  -34.03  -16.20    9.88   -0.47    0.97   951
1981  37 17 28  37 17 28 50 50   5   1   0    154      2  0.01     58   10.55    0.52   -7.12   -7.77   -4.15   -9.69    0.02    0.10   536.2  -534.8    -4.7   -38.3  10.77  102149.  6.19   5.20   0.93   8.3   14.17  -34.03  -16.21    9.85   -0.44    0.78   969
1981  37 17 29  37 17 29 50 50   5   1   0    148      0  0.00     65   10.35    0.52   -7.00   -7.59   -4.09   -9.48    0.14    0.23   537.7  -535.1   -10.3   -51.5  10.18  104855.  5.89   5.10   0.92   8.3   14.17  -34.03  -16.21    9.87   -0.39    0.88  1032
1981  37 17 30  37 17 30 50 50   5   1   0    151      0  0.00     57   10.39    0.30   -7.05   -7.62   -4.12   -9.53    0.08    0.31   536.9  -536.0    -0.9   -31.8  12.33   85078.  7.11   5.12   1.01   9.1   14.18  -34.02  -16.22    9.69   -0.48    0.66  1146
1981  37 17 31  37 17 31 50 50   4   2   0    156      2  0.01     55   10.58    0.09   -7.44   -7.51   -4.51   -9.56    0.01    0.20   537.8  -537.0    -3.7   -28.9  12.16   84223.  7.03   5.14   0.96   8.9   14.18  -34.02  -16.22    9.68   -0.43    0.47  1217
1981  37 17 32  37 17 32 50 50   6   2   0    158      1  0.01     57   10.52   -0.04   -7.69   -7.15   -4.86   -9.31    0.04    0.37   540.0  -539.4   -10.2   -22.1  11.75   81981.  6.85   5.03   0.93   8.8   14.19  -34.01  -16.22    9.67   -0.46    0.65  1227
1981  37 17 33  37 17 33 50 50   4   1   0    158      0  0.00     60   10.38    1.09   -6.14   -8.29   -3.01   -9.87    0.08    0.33   536.4  -533.7     3.7   -53.3  12.99   70758.  7.48   5.29   1.00   9.3   14.20  -34.01  -16.23    9.43   -0.55    0.94   960
1981  37 17 34  37 17 34 50 50   5   1   0    159      0  0.00     59   10.29    1.59   -5.81   -8.34   -2.68   -9.81    0.03    0.08   536.4  -533.7    -1.9   -53.3  12.48   72600.  7.18   5.26   0.99   9.2   14.21  -34.01  -16.23    9.46   -0.49    0.94  1003
1981  37 17 36  37 17 36 50 50   4   1   0    170      1  0.00     55   10.20    1.85   -5.94   -8.08   -2.87   -9.61    0.03    0.16   537.1  -534.5    -2.8   -52.4  12.70   85575.  7.33   5.16   1.09   9.4   14.23  -33.99  -16.24    9.48   -0.47    0.91  1068
1981  37 17 38  37 17 38 50 50   6   1   0    165      5  0.02     66   10.16    1.04   -6.19   -7.97   -3.13   -9.60    0.04    0.38   536.5  -535.3   -10.3   -34.6  11.67   91639.  6.72   5.15   1.03   9.0   14.25  -33.98  -16.25    9.64   -0.38    0.68  1428
1981  37 17 39  37 17 39 50 50   5   1   0    151      1  0.00     74   10.15    0.66   -6.41   -7.84   -3.37   -9.55    0.02    0.05   537.4  -534.7    -1.9   -53.4  11.81   88584.  6.82   5.13   1.03   9.1   14.26  -33.97  -16.25    9.64   -0.47    0.88  1621
1981  37 17 40  37 17 40 50 50   5   1   0    154      1  0.01     57   10.13    0.53   -6.45   -7.79   -3.42   -9.52    0.01    0.10   536.9  -534.2    -1.9   -53.3  11.89   89598.  6.85   5.11   1.05   9.1   14.27  -33.97  -16.26    9.62   -0.50    0.96  1682
1981  37 17 43  37 17 43 50 50   7   2   0    167     15  0.06     64   10.38    0.89   -6.47   -8.04   -3.33   -9.77    0.09    0.53   539.9  -539.3   -11.6   -23.7  10.92   83960.  6.37   5.27   0.90   8.6   14.28  -33.96  -16.26    9.76   -0.27    0.47  1613
1981  37 17 44  37 17 44 50 50   4   2   0    157      1  0.01     70    9.61    0.72   -5.92   -7.47   -3.00   -9.05    0.18    0.79   538.1  -536.8   -15.7   -34.0  11.35   84033.  6.57   4.87   1.09   9.4   14.29  -33.95  -16.27    9.72   -0.32    0.69  1410
1981  37 17 45  37 17 45 50 50   4   2   0    158      4  0.02     58    9.84    0.05   -6.54   -7.35   -3.61   -9.15    0.17    0.19   539.7  -537.5    -3.3   -48.8  12.19   94264.  7.10   4.94   1.17   9.6   14.30  -33.95  -16.27    9.62   -0.49    0.89  1216
1981  37 17 46  37 17 46 50 50   4   1   0    171     10  0.04     47    9.62    0.48   -6.09   -7.40   -3.16   -9.05    0.05    0.47   539.6  -536.9     0.0   -53.6  12.26  101075.  7.14   4.88   1.26   9.8   14.30  -33.94  -16.27    9.58   -0.57    0.89  1304
1981  37 17 47  37 17 47 50 50   4   1   0    184      7  0.03     46    9.39    2.37   -3.65   -8.04   -0.65   -8.81    0.11    1.79   526.8  -525.6    14.7   -33.1  13.86   94220.  7.69   4.64   1.46  10.4   14.31  -33.94  -16.28    9.40   -0.77    0.63  1366
1981  37 17 51  37 17 51 50 50   4   1   0    202      0  0.00     62    9.50    3.99   -2.19   -8.33    0.85   -8.57    0.27    0.43   525.0  -523.4    23.8   -33.0  12.40   85575.  6.84   4.50   1.22   9.7   14.34  -33.92  -16.29    9.51   -0.96    0.59  1087
1981  37 17 52  37 17 52 50 50   4   1   0    205      1  0.00     56    9.70    4.35   -2.02   -8.39    1.04   -8.57    0.01    0.69   525.7  -524.7    23.8   -22.9  13.57   81146.  7.50   4.51   1.26  10.0   14.35  -33.91  -16.29    9.41   -0.96    0.46  1085
1981  37 17 53  37 17 53 50 50   6   1   0    207      2  0.00     58    9.70    3.72   -3.13   -8.40    0.01   -8.96    0.01    0.13   525.7  -524.7    23.8   -22.9  13.57   81146.  7.50   4.71   1.26  10.0   14.35  -33.91  -16.29    9.36   -0.94    0.54  1137
1981  37 17 54  37 17 54 50 50   7   1   0    239     74  0.12     28    9.70    3.88   -2.96   -8.38    0.17   -8.89    0.06    0.19   528.4  -526.3    21.1   -42.4  13.50   77296.  7.54   4.70   1.23  10.0   14.36  -33.90  -16.30    9.39   -0.92    0.68  1233
1981  37 17 56  37 17 56 50 50   6   1 100    191      3  0.01     67    9.95    4.48   -3.05   -8.33    0.08   -8.87    0.05    0.24   522.0  -521.0    19.1   -26.4  13.43   56357.  7.32   4.63   1.04   9.6   14.38  -33.90  -16.31    9.41   -0.88    0.53  1239
1981  37 17 57  37 17 57 50 50   7   1 100    174      4  0.01     76   10.08    4.21   -3.42   -8.48   -0.20   -9.14    0.06    0.27   526.7  -524.8    17.4   -41.3  13.65   74463.  7.57   4.81   1.13   9.7   14.39  -33.89  -16.32    9.37   -0.85    0.75  1156
1981  37 17 59  37 17 59 50 50   6   1 100    148      2  0.01     72   10.03    3.73   -3.97   -8.41   -0.73   -9.27    0.02    0.43   524.7  -521.8    19.1   -51.2  11.89   78251.  6.55   4.86   1.02   9.0   14.41  -33.88  -16.33    9.56   -0.89    0.90  1307
1981  37 18  0  37 18  0 50 50   5   1 100    141      1  0.01     67   10.09    3.47   -4.57   -8.28   -1.33   -9.36    0.02    0.22   524.8  -523.2    18.3   -36.6  12.26   81633.  6.75   4.91   1.05   9.1   14.42  -33.87  -16.33    9.54   -0.86    0.69  1264
1981  37 18  1  37 18  1 50 50   5   1 100    136      0  0.01     64    9.84    2.35   -4.07   -8.58   -0.74   -9.47    0.09    0.83   529.2  -527.8    14.7   -36.0  13.50   75875.  7.56   5.01   1.18   9.9   14.43  -33.87  -16.34    9.30   -0.79    0.57  1214
1981  37 18  2  37 18  2 50 50   6   1 100    131      2  0.01     64    9.69    2.94   -4.81   -7.86   -1.68   -9.06    0.03    0.45   522.7  -522.1    13.7   -20.1  15.81   54301.  8.64   4.74   1.28  10.7   14.44  -33.86  -16.34    9.24   -0.78    0.37  1202
1981  37 18  3  37 18  3 50 50   5   2 100    121      2  0.01     70    9.64    2.96   -3.78   -8.31   -0.55   -9.11    0.11    0.68   524.8  -524.2    15.6   -20.2  15.22   73675.  8.38   4.78   1.38  10.6   14.45  -33.85  -16.34    9.23   -0.80    0.39  1311
1981  37 18  4  37 18  4 50 50   7   3  86     96     30  0.10     85    9.43    2.43   -2.61   -8.72    0.69   -9.08    0.02    0.32   525.7  -524.7    16.0   -28.6  14.88   81450.  8.22   4.77   1.46  10.8   14.47  -33.85  -16.35    9.20   -0.81    0.51  1346
1981  37 18  5  37 18  5 50 50   5   2  40     86     18  0.07     69    9.46    2.93   -2.76   -8.53    0.49   -8.95    0.10    0.59   525.5  -523.9    19.1   -36.4  14.47   85874.  7.99   4.70   1.44  10.6   14.47  -33.84  -16.36    9.24   -0.85    0.60  1269
1981  37 18  9  37 18  9 50 50   1   1 100    189      0  0.00     22    9.50    3.02   -1.94   -8.79    1.38   -8.90    0.00    0.00   524.5  -523.3    19.2   -29.3  14.59   84582.  8.03   4.67   1.43  10.5   14.49  -33.83  -16.36    9.21   -0.85    0.51  1225
1981  37 18 10  37 18 10 50 50   5   1  40    197     10  0.02     52    9.52    3.13   -1.78   -8.81    1.54   -8.85    0.04    0.22   524.5  -523.5    15.5   -28.4  14.95   85078.  8.23   4.64   1.46  10.7   14.50  -33.83  -16.37    9.19   -0.81    0.47  1207
1981  37 18 15  37 18 15 50 50   9   2  89    346     26  0.03 999999    9.60    4.44   -1.34   -8.31    1.80   -8.22    0.13    1.17   521.9  -521.4    16.8   -11.5  14.34   74369.  7.81   4.29   1.31  10.3   14.51  -33.81  -16.38    9.32   -0.83    0.26  1029
1981  37 18 16  37 18 16 50 50  13   3 100    246     28  0.04    160    9.53    5.07    0.05   -8.02    3.00   -7.44    0.24    0.74   523.4  -522.7    17.2   -21.8  15.53   76821.  8.51   3.89   1.46  10.8   14.54  -33.80  -16.39    9.21   -0.84    0.39   986
1981  37 18 17  37 18 17 50 50  10   1 100    162     17  0.03    143    9.30    5.25   -1.14   -7.58    1.73   -7.47    0.04    0.16   520.2  -519.0    16.3   -30.9  16.81   56357.  9.10   3.89   1.49  11.5   14.56  -33.78  -16.40    9.18   -0.83    0.46   948
1981  37 18 18  37 18 18 50 50   8   1 100    113     13  0.03    108    9.34    4.74   -1.20   -7.95    1.82   -7.83    0.03    0.19   519.7  -519.4    15.4    10.0  17.10   65799.  9.24   4.07   1.58  11.5   14.57  -33.78  -16.40    9.12   -0.80   -0.08   906
1981  37 18 19  37 18 19 50 50   9   2  44     59     14  0.03    114    9.55    4.74   -1.35   -8.17    1.77   -8.09    0.05    0.32   517.4  -517.1    18.0     1.1  16.54   58687.  8.86   4.19   1.41  11.0   14.59  -33.77  -16.41    9.12   -0.83    0.07   865
1981  37 18 20  37 18 20 50 50   6   1   0     21      5  0.01     98    9.70    4.47   -2.50   -8.18    0.71   -8.52    0.04    0.68   518.7  -517.8    14.5   -27.1  17.24   68485.  9.28   4.42   1.50  11.1   14.59  -33.76  -16.41    9.08   -0.77    0.48   926
1981  37 18 25  37 18 25 50 50   5   1   0     23      4  0.01     66    9.87    4.91   -1.64   -8.39    1.62   -8.39    0.03    0.42   523.5  -522.5    10.0   -30.1  15.45   60998.  8.47   4.39   1.25  10.4   14.64  -33.74  -16.43    9.18   -0.70    0.54  1065
1981  37 18 26  37 18 26 50 50   4   1   0     31      2  0.01     52   10.00    4.28   -3.24   -8.43    0.16   -9.03    0.04    0.21   528.3  -527.2     6.4   -34.1  15.24   77296.  8.51   4.77   1.30  10.3   14.65  -33.73  -16.44    9.19   -0.64    0.58  1031
1981  37 18 27  37 18 27 50 50   5   1   0     22     25  0.06     69   10.19    4.43   -3.41   -8.51    0.04   -9.17    0.04    0.13   528.3  -527.2     6.4   -34.1  15.24   77296.  8.51   4.84   1.26  10.1   14.65  -33.73  -16.44    9.17   -0.65    0.62  1078
1981  37 18 29  37 18 29 50 50   4   1   0     82      3  0.01     23   10.05    4.33   -3.88   -8.20   -0.50   -9.06    0.02    0.18   529.6  -528.2     9.2   -37.9  15.17   72600.  8.51   4.80   1.26  10.3   14.66  -33.72  -16.45    9.20   -0.68    0.65  1251
1981  37 18 30  37 18 30 50 50   5   1   0     87      0  0.01     54   10.10    4.85   -3.61   -8.09   -0.28   -8.85    0.04    0.23   529.9  -529.3     8.3   -24.0  16.10   68485.  9.04   4.69   1.29  10.5   14.67  -33.72  -16.45    9.16   -0.66    0.48  1304
1981  37 18 31  37 18 31 50 50   5   2   0     80      3  0.01     67   10.15    4.77   -3.96   -8.03   -0.62   -8.93    0.03    0.25   530.1  -529.6     7.4   -21.3  15.67   71201.  8.81   4.73   1.26  10.3   14.68  -33.71  -16.45    9.18   -0.65    0.38  1189
1981  37 18 32  37 18 32 50 50   5   1   0     73      0  0.01     66   10.10    4.57   -3.90   -8.12   -0.53   -8.99    0.03    0.20   531.3  -530.6     8.3   -25.0  15.60   73529.  8.81   4.78   1.28  10.4   14.69  -33.71  -16.46    9.17   -0.66    0.42  1038
1981  37 18 33  37 18 33 50 50   4   1   0     86      3  0.01     46   10.08    4.38   -4.02   -8.13   -0.63   -9.05    0.01    0.11   532.6  -532.1     8.4   -22.3  15.81   79212.  8.97   4.82   1.34  10.5   14.70  -33.70  -16.46    9.16   -0.66    0.39   956
1981  37 18 34  37 18 34 50 50   4   1   0    100      3  0.01     45   10.01    4.13   -4.00   -8.19   -0.58   -9.10    0.05    0.15   532.6  -532.1     8.4   -22.3  15.81   79212.  8.97   4.85   1.36  10.6   14.70  -33.70  -16.46    9.15   -0.67    0.42   989
1981  37 18 35  37 18 35 50 50   6   1   0     82     30  0.06     78   10.08    4.06   -4.09   -8.19   -0.65   -9.13    0.11    0.93   533.1  -532.1    11.1   -30.7  15.38   75402.  8.74   4.87   1.28  10.4   14.71  -33.69  -16.47    9.15   -0.69    0.49  1084
1981  37 18 36  37 18 36 50 50   7   2   0     84     26  0.06     57   10.23    3.93   -4.02   -8.49   -0.47   -9.38    0.06    0.77   533.3  -532.4    10.1   -29.7  15.81   76165.  8.99   5.00   1.29  10.4   14.72  -33.69  -16.48    9.09   -0.68    0.49  1057
1981  37 18 37  37 18 37 50 50   4   2   0     80      3  0.01     64   10.20    4.60   -3.40   -8.35    0.06   -9.02    0.04    1.13   530.9  -530.4     9.3   -22.7  16.31   85430.  9.19   4.79   1.39  10.5   14.73  -33.68  -16.48    9.08   -0.67    0.41  1003
1981  37 18 38  37 18 38 50 50   4   2   0     97      3  0.01     43   10.11    5.91   -0.78   -8.06    2.37   -7.74    0.06    1.07   530.7  -530.2     9.3   -22.2  16.31   86059.  9.19   4.11   1.42  10.6   14.73  -33.68  -16.48    9.05   -0.59    0.37   936
1981  37 18 39  37 18 39 50 50   5   1   0     99      1  0.01     57   10.24    6.73    1.74   -7.47    4.48   -6.23    0.04    0.52   534.3  -533.9     0.0   -21.4  17.60   80176. 10.05   3.33   1.46  10.9   14.74  -33.67  -16.48    9.07   -0.57    0.22   942
1981  37 18 40  37 18 40 50 50   4   1  50    109      3  0.01     50   10.36    6.27    1.53   -8.06    4.52   -6.85    0.10    0.38   534.0  -533.8    12.1     4.7  17.03   75402.  9.71   3.66   1.35  10.6   14.75  -33.67  -16.49    9.03   -0.66    0.02  1033
1981  37 18 41  37 18 41 50 50   3   1 100    124      4  0.01     45   10.22    5.79    0.99   -8.34    4.13   -7.31    0.07    0.42   536.7  -536.2    -0.9   -23.4  17.03   72600.  9.81   3.92   1.36  10.8   14.75  -33.67  -16.49    8.99   -0.51    0.32  1162
1981  37 18 43  37 18 43 50 50   4   1 100    161      3  0.01     40   10.06    4.99   -0.74   -8.67    2.68   -8.28    0.04    0.52   534.5  -533.8   -15.8   -21.5  17.81   74932. 10.18   4.43   1.49  11.2   14.76  -33.66  -16.49    8.91   -0.32    0.37  1424
1981  37 18 44  37 18 44 50 50   4   1  75    176      4  0.01     45   10.23    2.87   -3.78   -8.92   -0.02   -9.69    0.22    1.35   535.3  -534.7     1.9   -24.3  17.38   70300.  9.96   5.19   1.37  10.9   14.77  -33.65  -16.50    8.90   -0.51    0.40  1468
1981  37 18 46  37 18 46 50 50  11   2  91    173     29  0.06     84   11.27    1.08   -6.42   -7.47   -3.00   -9.38    0.91    5.29   536.2  -535.5     8.8   -23.8  16.00   66477.  9.20   5.03   1.02   9.5   14.79  -33.65  -16.50    9.82   -0.96    0.70  1243
1981  37 18 47  37 18 47 50 50   6   2 100    119      2  0.02    114   12.22   -1.17  -11.59   -3.42   -9.34   -7.67    0.10    0.93   535.7  -532.0    27.6   -55.8   8.52   66703.  4.89   4.11   0.46   6.4   14.81  -33.63  -16.51   10.98   -1.24    1.13  1108
1981  37 18 48  37 18 48 50 50   5   1 100    115      3  0.02     63   12.07   -1.80   -8.10   -7.55   -4.50  -10.12    0.09    3.96   529.8  -529.0    11.1   -26.8   8.66   79693.  4.86   5.36   0.51   6.5   14.82  -33.63  -16.52   10.30   -0.87    0.67  1194
1981  37 18 52  37 18 52 50 50   5   2   0     38      1  0.01     75   13.25    3.05   -9.64   -8.30   -5.59  -11.43    0.08    1.13   537.5  -537.2    -3.6   -18.2   6.90   38916.  3.99   6.14   0.27   5.3   14.86  -33.60  -16.54   10.64   -0.56    0.21   760
1981  37 18 53  37 18 53 50 50   5   1   0     37      2  0.02     61   13.33    1.95   -9.03   -9.59   -4.51  -12.37    0.03    0.25   542.2  -541.9     3.8    16.1   7.28   28810.  4.28   6.71   0.27   5.5   14.86  -33.60  -16.54   10.38   -0.60   -0.27   819
1981  37 20 16  37 20 16 50 50   5   1   0    103      0  0.01     60   12.22   -1.98  -10.95   -5.04   -7.56   -9.39    0.04    0.16   538.1  -535.9     4.7   -48.8   9.50   24056.  5.50   5.05   0.40   6.8   15.51  -33.15  -16.85   10.42   -0.65    0.96   687
1981  37 20 21  37 20 21 50 50   5   1   0    102      1  0.00     60   12.24   -1.31  -10.66   -5.86   -6.91  -10.01    0.02    0.27   539.7  -539.3     5.6   -20.7   8.66   23205.  5.04   5.40   0.36   6.5   15.55  -33.13  -16.86   10.50   -0.68    0.59   612
1981  37 20 22  37 20 22 50 50   2   1   0    100      0  0.00     61   12.23   -0.84  -10.45   -6.29   -6.52  -10.31    0.00    0.05   545.3  -543.0     4.7   -49.4   8.51   27284.  5.06   5.62   0.37   6.5   15.56  -33.13  -16.87   10.41   -0.66    0.95   619
1981  38  6 13  38  6 13 50 50   4   1 100    326      5  0.01     37   11.04   -5.15   -9.74   -0.25   -9.39   -2.59    0.01    0.46   488.1  -487.8   -15.3    -4.3   2.57   44903.  1.22   1.26   0.15   3.5   19.98  -29.51  -18.78   15.03   -0.47   -0.13   277
1981  38  7 16  38  7 16 50 50   4   1   0    291      3  0.01 999999   10.91   -6.38   -6.57    5.89   -7.58    4.52    0.02    0.33   478.6  -477.9   -25.9    -0.8   3.84   37676.  1.76  -2.16   0.22   4.3   20.43  -29.07  -18.96   13.97   -0.10    0.29   154
1981  38  7 17  38  7 17 50 50   2   1   0    283      3  0.00     67   10.95   -7.04   -6.15    5.69   -7.12    4.41    0.00    0.07   478.6  -477.9   -25.9    -0.8   3.84   37676.  1.76  -2.11   0.22   4.3   20.43  -29.07  -18.96   13.98   -0.12    0.11   158
1981  38  7 19  38  7 19 50 50   2   1   0    384     10  0.01     11   11.00   -7.03   -6.07    5.90   -7.08    4.64    0.02    0.05   480.0  -478.9   -25.1   -20.9   3.42   35278.  1.58  -2.23   0.19   4.0   20.44  -29.06  -18.96   14.21   -0.13    0.49   150
1981  38  7 20  38  7 20 50 50   5   2   0    401      1  0.01     43   11.02   -7.03   -6.13    5.83   -7.12    4.57    0.02    0.34   480.3  -479.2   -24.7   -20.7   3.42   35413.  1.58  -2.19   0.19   4.0   20.44  -29.06  -18.96   14.25   -0.25    0.56   143
1981  38  7 21  38  7 21 50 50   4   1   0    406      2  0.01     55   11.05   -7.47   -6.93    4.08   -7.57    2.71    0.01    1.05   485.5  -484.9   -17.8   -16.9   3.42   37676.  1.61  -1.32   0.19   4.1   20.44  -29.06  -18.97   14.16   -0.31    0.49   142
1981  38  7 22  38  7 22 50 50   4   1   0    418      4  0.01     47   11.09   -7.42   -7.67    2.90   -8.08    1.41    0.04    0.42   490.9  -490.1   -21.4   -17.1   3.42   30374.  1.65  -0.69   0.18   4.1   20.45  -29.05  -18.97   14.11   -0.24    0.43   140
1981  38  7 24  38  7 24 50 50   4   1   0    450      3  0.00     44   11.06   -7.30   -5.50    6.19   -6.55    5.06    0.02    0.41   472.6  -472.1   -21.4     5.8   3.67   41945.  1.64  -2.39   0.21   4.1   20.46  -29.03  -18.97   14.16   -0.25   -0.04   142
1981  38  7 25  38  7 25 50 50   6   2   0    422     21  0.02     88   11.09   -6.81   -6.78    5.44   -7.67    4.09    0.01    0.86   482.4  -482.2   -13.6    -2.5   3.30   29633.  1.54  -1.97   0.18   4.0   20.47  -29.02  -18.97   14.35   -0.45    0.03   140
1981  38  7 52  38  7 52 50 50   6   1 100    412      1  0.00     57   11.19   -7.48   -5.31    6.28   -6.29    5.30    0.02    0.92   480.0  -479.7   -16.8    -2.5   3.59   36983.  1.65  -2.54   0.20   4.1   20.66  -28.83  -19.04   14.16   -0.49   -0.18    80
1981  38  7 53  38  7 53 50 50   5   1 100    409      2  0.00     62   11.17   -7.25   -6.21    5.49   -7.04    4.38    0.01    1.48   481.9  -480.5     0.0    37.0   3.51   31009.  1.63  -2.11   0.19   4.0   20.67  -28.82  -19.05   14.15   -0.83   -1.07    73
1981  38  7 55  38  7 55 50 50   4   1 100    437      4  0.00     45   11.16   -7.65   -6.91    4.22   -7.51    3.02    0.01    0.34   465.5  -463.1   -11.3    45.4   3.51   61428.  1.52  -1.41   0.22   3.9   20.68  -28.81  -19.05   14.28   -0.62   -1.34    69
1981  38  7 56  38  7 56 50 50   5   2 100    439      1  0.01     58   11.16   -7.55   -6.96    4.29   -7.57    3.08    0.01    0.43   474.9  -473.9   -11.6    25.9   3.63   48672.  1.64  -1.46   0.21   4.1   20.69  -28.80  -19.05   14.15   -0.55   -0.88    64
1981  38  7 57  38  7 57 50 50   5   2 100    442      2  0.00     57   11.15   -7.22   -7.30    4.28   -7.90    3.02    0.02    0.47   473.5  -472.4    -8.7    30.5   3.89   48118.  1.74  -1.43   0.23   4.2   20.69  -28.80  -19.06   13.96   -0.60   -0.80    62
1981  38  7 58  38  7 58 50 50   4   1 100    449      1  0.01     52   11.18   -7.10   -6.46    5.73   -7.31    4.60    0.00    0.19   472.8  -471.6    -8.2    32.2   3.92   48724.  1.75  -2.17   0.23   4.2   20.69  -28.80  -19.06   13.96   -0.62   -0.88    63
1981  38  8  7  38  8  7 50 50   2   1   0    607      4  0.00     39   11.19   -7.12   -5.71    6.46   -6.66    5.48    0.02    0.10   482.8  -482.4   -18.5    -0.8   3.25   29432.  1.52  -2.65   0.17   3.9   20.74  -28.75  -19.08   14.44   -0.35   -0.04    69
1981  38  8  9  38  8  9 50 50   3   1   0    657     31  0.02     56   11.22   -6.59   -5.36    7.26   -6.43    6.33    0.03    0.75   485.9  -485.4   -16.1    14.4   3.34   29432.  1.58  -3.08   0.17   4.0   20.75  -28.74  -19.08   14.34   -0.39   -0.38    77
1981  38  8 10  38  8 10 50 50   5   1   0    701     13  0.02     15   11.21   -6.06   -5.36    7.70   -6.50    6.77    0.03    0.63   485.9  -485.4   -16.1    14.4   3.34   29432.  1.58  -3.29   0.17   4.0   20.75  -28.74  -19.08   14.32   -0.39   -0.37    86
1981  38  8 18  38  8 18 50 50   5   1 100    410      2  0.01     78   11.22   -6.18   -6.20    6.93   -7.18    5.91    0.02    0.67   495.0  -494.2   -22.4   -17.3   3.92   51878.  1.92  -2.93   0.23   4.4   20.85  -28.64  -19.12   13.77   -0.21    0.45    66
1981  38  8 19  38  8 19 50 50   6   2 100    396      3  0.00     74   11.15   -5.67   -6.42    6.60   -7.35    5.55    0.04    2.43   498.6  -498.3   -16.8    -5.8   4.08   36731.  2.03  -2.77   0.23   4.5   20.86  -28.63  -19.12   13.55   -0.32    0.30    74
1981  38  8 21  38  8 21 50 50   6   1 100    380      2  0.01     67   11.23   -4.08   -6.58    8.01   -7.71    6.93    0.03    0.78   507.8  -505.7   -22.1   -40.7   4.66   64915.  2.40  -3.52   0.30   4.9   20.87  -28.62  -19.13   13.17   -0.21    1.00    90
1981  38  8 26  38  8 26 50 50   9   2  56    304     42  0.07    103   11.27   -6.20   -5.24    7.70   -6.32    6.84    0.04    1.09   485.0  -484.7   -18.5    -0.8   3.72   35497.  1.75  -3.32   0.20   4.2   20.92  -28.56  -19.15   13.97   -0.32    0.13    88
1981  38  8 27  38  8 27 50 50   9   2  44    282     43  0.08     81   11.22   -6.20   -5.59    7.47   -6.63    6.56    0.03    0.43   487.7  -487.4   -18.0    -0.9   3.46   29090.  1.65  -3.20   0.18   4.0   20.92  -28.56  -19.15   14.09   -0.33    0.05    91
1981  38  8 29  38  8 29 50 50   4   1  50    265      4  0.01     45   11.22   -6.17   -5.20    7.77   -6.28    6.93    0.02    0.22   486.2  -485.8   -18.7    -0.8   3.76   31972.  1.78  -3.37   0.20   4.2   20.94  -28.54  -19.15   14.01   -0.34    0.03    80
1981  38  8 31  38  8 31 50 50   5   1   0    299      7  0.01     42   11.21   -6.79   -6.44    6.11   -7.26    5.11    0.03    0.70   485.5  -485.4    -8.5    -5.1   3.59   30374.  1.69  -2.48   0.19   4.1   20.94  -28.54  -19.15   14.15   -0.62    0.10    61
1981  38  8 37  38  8 37 50 50   5   1   0    328      3  0.00     60   11.27   -6.86   -6.83    5.71   -7.57    4.68    0.03    0.45   484.2  -483.9   -10.1    14.4   2.92   37676.  1.37  -2.27   0.16   3.7   20.98  -28.50  -19.17   14.56   -0.57   -0.42    71
1981  38  8 38  38  8 38 50 50   8   2   0    301     42  0.08     87   11.26   -7.01   -6.30    6.00   -7.09    5.04    0.06    1.22   478.0  -477.7   -12.5    12.5   3.76   39743.  1.72  -2.41   0.21   4.1   20.99  -28.49  -19.17   14.02   -0.51   -0.31    66
